# dx	dy
-3.407262086868286133e+00 4.374299049377441406e-01
-3.303106069564819336e+00 5.288648605346679688e-01
-3.326872825622558594e+00 4.079458415508270264e-01
-3.376532793045043945e+00 4.048191308975219727e-01
-3.274925231933593750e+00 4.300946295261383057e-01
-3.266330957412719727e+00 4.190341234207153320e-01
-3.246036052703857422e+00 4.180156588554382324e-01
-3.231773138046264648e+00 4.624236226081848145e-01
-3.218497037887573242e+00 6.131428480148315430e-01
-3.283692598342895508e+00 3.515838384628295898e-01
-3.251749038696289062e+00 3.678582012653350830e-01
-3.169495582580566406e+00 3.636460900306701660e-01
-3.244002819061279297e+00 4.394731521606445312e-01
-3.254159212112426758e+00 4.137462377548217773e-01
-3.089717388153076172e+00 4.526629745960235596e-01
-2.950885772705078125e+00 7.610787749290466309e-01
-2.955392122268676758e+00 3.544959127902984619e-01
-3.101944446563720703e+00 5.339708924293518066e-01
-2.940320730209350586e+00 3.633472621440887451e-01
-3.168615102767944336e+00 5.941221117973327637e-01
-2.871192693710327148e+00 2.596493959426879883e-01
-2.796734809875488281e+00 3.356475830078125000e-01
-2.699460983276367188e+00 3.237719833850860596e-01
-2.980020284652709961e+00 2.349349856376647949e-01
-3.076129913330078125e+00 4.185937941074371338e-01
-3.098226308822631836e+00 3.069027066230773926e-01
-2.997609615325927734e+00 2.834706008434295654e-01
-2.897009849548339844e+00 2.600540220737457275e-01
-2.866962909698486328e+00 2.995982766151428223e-01
-2.882871627807617188e+00 3.293188512325286865e-01
-2.985846757888793945e+00 4.791502952575683594e-01
-2.905180692672729492e+00 2.680585384368896484e-01
-2.998836040496826172e+00 3.099775314331054688e-01
-2.893658399581909180e+00 7.179566025733947754e-01
-2.797605514526367188e+00 4.399062991142272949e-01
-2.828841924667358398e+00 2.425317764282226562e-01
-2.748710870742797852e+00 3.297031223773956299e-01
-2.892318725585937500e+00 2.975566089153289795e-01
-2.801645278930664062e+00 2.737748920917510986e-01
-2.847444057464599609e+00 2.963758111000061035e-01
-2.823385238647460938e+00 4.085200726985931396e-01
-2.743210792541503906e+00 1.528052091598510742e-01
-2.829993486404418945e+00 2.170269489288330078e-01
-2.676374197006225586e+00 1.947734951972961426e-01
-2.656250476837158203e+00 1.846604645252227783e-01
-2.656825065612792969e+00 1.788408756256103516e-01
-2.627648115158081055e+00 1.578530371189117432e-01
-2.630756616592407227e+00 1.389199197292327881e-01
-2.747386932373046875e+00 1.315114498138427734e-01
-2.468660116195678711e+00 1.046916544437408447e-01
-2.603556871414184570e+00 1.224133968353271484e-01
-2.535887002944946289e+00 7.670262455940246582e-02
-2.496203660964965820e+00 1.335794031620025635e-01
-2.463511466979980469e+00 1.150813400745391846e-01
-2.498896121978759766e+00 1.060176491737365723e-01
-2.474404335021972656e+00 1.276533901691436768e-01
-2.465403556823730469e+00 1.116325557231903076e-01
-2.412461519241333008e+00 1.452324986457824707e-01
-2.435661315917968750e+00 1.192156076431274414e-01
-2.444818496704101562e+00 1.232078075408935547e-01
-2.417711019515991211e+00 1.256332099437713623e-01
-2.421064615249633789e+00 1.226990222930908203e-01
-2.456785678863525391e+00 1.403640806674957275e-01
-2.428312540054321289e+00 1.561744213104248047e-01
-2.440053224563598633e+00 1.583073139190673828e-01
-2.417961597442626953e+00 1.704062223434448242e-01
-2.415137290954589844e+00 1.559824943542480469e-01
-2.395573139190673828e+00 1.840409040451049805e-01
-2.410397291183471680e+00 1.880960166454315186e-01
-2.401178836822509766e+00 1.693954169750213623e-01
-2.430786848068237305e+00 1.521808505058288574e-01
-2.388079881668090820e+00 1.419343054294586182e-01
-2.402608633041381836e+00 1.192542016506195068e-01
-2.380658864974975586e+00 1.351591646671295166e-01
-2.401689767837524414e+00 1.472664475440979004e-01
-2.406028032302856445e+00 1.527971327304840088e-01
-2.390993118286132812e+00 1.827973425388336182e-01
-2.316072940826416016e+00 1.585353314876556396e-01
-2.405593395233154297e+00 2.408892810344696045e-01
-2.289067983627319336e+00 1.964794695377349854e-01
-2.344988107681274414e+00 1.656388044357299805e-01
-2.215226650238037109e+00 2.432567477226257324e-01
-2.300633668899536133e+00 2.423900067806243896e-01
-2.309582233428955078e+00 1.883133798837661743e-01
-2.283286333084106445e+00 2.120334655046463013e-01
-2.301463365554809570e+00 2.120202183723449707e-01
-2.282628297805786133e+00 1.680015027523040771e-01
-2.228796720504760742e+00 2.814370393753051758e-01
-2.232613801956176758e+00 1.874916702508926392e-01
-1.830060482025146484e+00 4.423486888408660889e-01
-2.236486196517944336e+00 2.265092432498931885e-01
-2.109097719192504883e+00 1.517061740159988403e-01
-1.919494867324829102e+00 2.404135912656784058e-01
-2.354346513748168945e+00 3.716682195663452148e-01
-2.296525239944458008e+00 2.839282453060150146e-01
-2.238720417022705078e+00 1.962028443813323975e-01
-2.180932521820068359e+00 1.084919571876525879e-01
-2.133006572723388672e+00 6.278780102729797363e-02
-2.152840375900268555e+00 1.418152600526809692e-01
-2.030506849288940430e+00 2.082181125879287720e-01
-2.163332223892211914e+00 1.571311950683593750e-01
-1.845671653747558594e+00 1.310988366603851318e-01
-1.852333545684814453e+00 1.965019702911376953e-01
-2.007110357284545898e+00 4.888480901718139648e-02
-1.778447151184082031e+00 2.121722698211669922e-01
-1.966186523437500000e+00 5.827784538269042969e-02
-1.800621271133422852e+00 8.720213174819946289e-02
-1.838469982147216797e+00 1.182526499032974243e-01
-1.650344252586364746e+00 2.462114095687866211e-01
-1.912515044212341309e+00 1.530826091766357422e-02
-2.017151117324829102e+00 -3.978058695793151855e-02
-1.924311280250549316e+00 2.243232727050781250e-02
-1.903243660926818848e+00 2.972051501274108887e-02
-1.896715641021728516e+00 4.657429456710815430e-02
-1.757447481155395508e+00 4.339948296546936035e-02
-1.819223403930664062e+00 1.554292440414428711e-02
-1.830209255218505859e+00 2.882152795791625977e-03
-1.770615100860595703e+00 -3.944724798202514648e-03
-1.782723546028137207e+00 -1.532760262489318848e-02
-1.761095523834228516e+00 -2.201199531555175781e-04
-1.768669128417968750e+00 -5.351752042770385742e-03
-1.713061690330505371e+00 -3.501218557357788086e-02
-1.649572849273681641e+00 -5.576759576797485352e-02
-1.644655704498291016e+00 -5.701929330825805664e-02
-1.610567808151245117e+00 -3.928601741790771484e-02
-1.583754658699035645e+00 -8.268791437149047852e-02
-1.575332164764404297e+00 -8.359956741333007812e-02
-1.533250451087951660e+00 -9.504595398902893066e-02
-1.511990785598754883e+00 -1.107359528541564941e-01
-1.513590574264526367e+00 -6.115862727165222168e-02
-1.456004858016967773e+00 -1.010859608650207520e-01
-1.435378074645996094e+00 -1.368859112262725830e-01
-1.429153084754943848e+00 -1.225284785032272339e-01
-1.381489992141723633e+00 -1.482392102479934692e-01
-1.381917119026184082e+00 -1.259030997753143311e-01
-1.348485708236694336e+00 -1.288754791021347046e-01
-1.342067241668701172e+00 -1.315762847661972046e-01
-1.336939215660095215e+00 -1.155591905117034912e-01
-1.349713206291198730e+00 -1.258333623409271240e-01
-1.328897237777709961e+00 -1.300314813852310181e-01
-1.306983113288879395e+00 -1.466656923294067383e-01
-1.301510810852050781e+00 -1.501719951629638672e-01
-1.300034999847412109e+00 -1.148766428232192993e-01
-1.273222684860229492e+00 -1.003835350275039673e-01
-1.257730245590209961e+00 -1.193535923957824707e-01
-1.260729074478149414e+00 -1.002841442823410034e-01
-1.254060387611389160e+00 -8.299863338470458984e-02
-1.230521917343139648e+00 -1.245727390050888062e-01
-1.236951351165771484e+00 -1.380507647991180420e-01
-1.195984363555908203e+00 -1.528118699789047241e-01
-1.162344574928283691e+00 -1.464555263519287109e-01
-1.160298228263854980e+00 -1.403926610946655273e-01
-1.116575360298156738e+00 -1.300887763500213623e-01
-1.110907554626464844e+00 -1.197023093700408936e-01
-1.094836831092834473e+00 -1.341008692979812622e-01
-1.078774094581604004e+00 -1.332928985357284546e-01
-1.105038642883300781e+00 -1.198505461215972900e-01
-1.074985265731811523e+00 -9.322178363800048828e-02
-1.064188003540039062e+00 -9.756936132907867432e-02
-1.067649960517883301e+00 -8.168299496173858643e-02
-1.067121863365173340e+00 -8.153496682643890381e-02
-1.085112571716308594e+00 -8.893419802188873291e-02
-1.062687993049621582e+00 -8.728304505348205566e-02
-1.069729566574096680e+00 -6.119810044765472412e-02
-1.050874233245849609e+00 -6.737017631530761719e-02
-1.040980100631713867e+00 -7.175534963607788086e-02
-1.022341132164001465e+00 -7.024385035037994385e-02
-9.888370037078857422e-01 -6.078653037548065186e-02
-9.653868675231933594e-01 -9.114117920398712158e-02
-9.530754685401916504e-01 -1.085643172264099121e-01
